Date,Value,date_jour,pct_change
01/2022,191.55,24/05/2023,
02/2022,162.64,24/05/2023,-15.09
03/2022,265.71,24/05/2023,63.37
04/2022,186.59,24/05/2023,-29.78
05/2022,176.64,24/05/2023,-5.33
06/2022,219.1,24/05/2023,24.04
07/2022,321.33,24/05/2023,46.66
08/2022,448.13,24/05/2023,39.46
09/2022,346.51,24/05/2023,-22.68
10/2022,157.39,24/05/2023,-54.58
11/2022,180.41,24/05/2023,14.63
12/2022,269.28,24/05/2023,49.26
01/2023,130.7,24/05/2023,-51.46
02/2023,143.51,24/05/2023,9.8
03/2023,109.59,24/05/2023,-23.64
04/2023,105.53,24/05/2023,-3.7
05/2023,86.22,24/05/2023,-18.3
