marketStrip,lastPrice
Jan23,141.25
Feb23,142.5
Q1 23,141.79
Mar23,141.8
Apr23,141.385
May23,140.53
Q2 23,141.59
Jun23,141.285
Jul23,141.385
Aug23,141.45
Summer23,141.5
Q3 23,141.9
Sep23,141.25
Oct23,140.535
Nov23,139.0
Cal 23,141.125
Q4 23,141.685
Dec23,140.445
Jan24,
Feb24,
Winter23,138.5
Q1 24,135.33
Mar24,
Apr24,
May24,
Q2 24,
Jun24,
Jul24,
Aug24,
Summer24,98.0
Q3 24,
Sep24,
Oct24,
Nov24,
Cal 24,106.9
Q4 24,95.575
Dec24,
Jan25,
Feb25,
Winter24,93.255
Mar25,
Apr25,
May25,
Jun25,
Jul25,
Aug25,
Summer25,64.0
Sep25,
Oct25,
Nov25,
Cal 25,71.75
Dec25,
Jan26,
Feb26,
Winter25,63.15
Mar26,
Apr26,
May26,
Jun26,
Jul26,
Aug26,
Summer26,
Sep26,
Oct26,
Nov26,
Cal 26,40.82
Q4 26,34.0
Dec26,
Jan27,
Feb27,
Mar27,
Apr27,
May27,
Jun27,
Jul27,
Aug27,
Sep27,
Oct27,
Nov27,
Cal 27,
Dec27,
Jan28,
Feb28,
Mar28,
Apr28,
May28,
Jun28,
Jul28,
Aug28,
Sep28,
Oct28,
Nov28,
Cal 28,
Dec28,
