marketStrip,lastPrice
Jan23,145.95
Feb23,146.6
Q1 23,146.5
Mar23,146.95
Apr23,147.09
May23,146.7
Q2 23,146.6
Jun23,146.85
Jul23,147.09
Aug23,146.945
Summer23,147.0
Q3 23,147.095
Sep23,146.725
Oct23,139.085
Nov23,140.2
Cal 23,140.865
Q4 23,146.3
Dec23,142.0
Jan24,138.0
Feb24,135.0
Winter23,144.3
Q1 24,139.995
Mar24,
Apr24,
May24,
Q2 24,101.5
Jun24,
Jul24,
Aug24,
Summer24,99.8
Sep24,
Oct24,
Nov24,
Cal 24,107.45
Q4 24,
Dec24,
Jan25,
Feb25,
Winter24,96.0
Q1 25,96.0
Mar25,
Apr25,
May25,
Q2 25,
Jun25,
Jul25,
Aug25,
Summer25,63.75
Sep25,
Oct25,
Nov25,
Cal 25,72.0
Q4 25,64.95
Dec25,
Jan26,
Feb26,
Winter25,62.45
Mar26,
Apr26,
May26,
Jun26,
Jul26,
Aug26,
Summer26,33.5
Sep26,
Oct26,
Nov26,
Cal 26,39.7
Dec26,
Jan27,
Feb27,
Mar27,
Apr27,
May27,
Jun27,
Jul27,
Aug27,
Sep27,
Oct27,
Nov27,
Cal 27,34.0
Dec27,
Jan28,
Feb28,
Mar28,
Apr28,
May28,
Jun28,
Jul28,
Aug28,
Sep28,
Oct28,
Nov28,
Cal 28,34.0
Dec28,
