Date,Value
07/12/21,152.77
08/12/21,176.04
09/12/21,168.53
10/12/21,175.47
13/12/21,193.64
14/12/21,190.89
15/12/21,188.24
16/12/21,208.64
17/12/21,209.3
20/12/21,221.51
21/12/21,264.82
22/12/21,265.12
23/12/21,241.02
24/12/21,217.64
27/12/21,208.29
28/12/21,216.22
29/12/21,213.2
30/12/21,207.17
31/12/21,181.14
03/01/22,183.22
04/01/22,215.64
05/01/22,213.88
06/01/22,210.69
07/01/22,201.18
10/01/22,194.56
11/01/22,182.24
12/01/22,165.53
13/01/22,165.96
14/01/22,166.69
17/01/22,164.42
18/01/22,165.21
19/01/22,163.16
20/01/22,163.5
21/01/22,172.47
24/01/22,191.08
25/01/22,197.41
26/01/22,202.49
27/01/22,216.12
28/01/22,214.69
31/01/22,204.95
01/02/22,182.51
02/02/22,187.08
03/02/22,189.12
04/02/22,197.59
07/02/22,193.91
08/02/22,193.39
09/02/22,191.42
10/02/22,186.81
11/02/22,192.47
14/02/22,198.21
15/02/22,183.47
16/02/22,179.4
17/02/22,188.64
18/02/22,183.9
21/02/22,183.95
22/02/22,197.81
23/02/22,217.29
24/02/22,237.82
25/02/22,208.14
28/02/22,212.08
01/03/22,236.1
02/03/22,259.56
03/03/22,256.5
04/03/22,245.63
07/03/22,254.97
08/03/22,270.28
09/03/22,241.13
10/03/22,225.87
11/03/22,230.93
14/03/22,211.06
15/03/22,211.71
16/03/22,203.04
17/03/22,208.32
18/03/22,209.08
21/03/22,204.94
22/03/22,215.34
23/03/22,237.14
24/03/22,240.54
25/03/22,221.69
28/03/22,219.89
29/03/22,244.61
30/03/22,250.88
31/03/22,251.72
01/04/22,248.12
04/04/22,237.16
05/04/22,235.86
06/04/22,236.2
07/04/22,235.3
08/04/22,245.47
11/04/22,235.22
12/04/22,239.15
13/04/22,242.75
14/04/22,232.61
18/04/22,232.61
19/04/22,230.24
20/04/22,237.4
21/04/22,240.79
22/04/22,232.82
25/04/22,229.81
26/04/22,236.59
27/04/22,240.7
28/04/22,236.72
29/04/22,236.19
02/05/22,233.76
03/05/22,245.37
04/05/22,256.5
05/05/22,261.54
06/05/22,262.24
09/05/22,247.63
10/05/22,253.23
11/05/22,247.85
12/05/22,253.75
13/05/22,253.5
16/05/22,252.48
17/05/22,258.01
18/05/22,256.53
19/05/22,254.48
20/05/22,250.52
23/05/22,241.58
24/05/22,249.29
25/05/22,252.85
26/05/22,253.18
27/05/22,259.53
30/05/22,261.85
31/05/22,266.08
01/06/22,267.0
02/06/22,260.4
03/06/22,255.0
06/06/22,253.24
07/06/22,249.17
08/06/22,242.5
09/06/22,238.25
10/06/22,234.6
13/06/22,232.93
14/06/22,239.86
15/06/22,258.56
16/06/22,251.78
17/06/22,256.1
20/06/22,252.35
21/06/22,260.4
22/06/22,260.12
23/06/22,283.92
24/06/22,284.98
27/06/22,287.52
28/06/22,280.48
29/06/22,286.88
30/06/22,294.35
01/07/22,307.91
04/07/22,337.88
05/07/22,333.29
06/07/22,362.64
07/07/22,390.93
08/07/22,384.77
11/07/22,378.46
12/07/22,381.88
13/07/22,392.3
14/07/22,409.99
15/07/22,391.83
18/07/22,386.54
19/07/22,381.27
20/07/22,367.26
21/07/22,369.13
22/07/22,374.09
25/07/22,377.96
26/07/22,424.25
27/07/22,420.4
28/07/22,421.77
29/07/22,415.65
01/08/22,426.7
02/08/22,443.81
03/08/22,446.46
04/08/22,451.47
05/08/22,449.58
08/08/22,453.32
09/08/22,455.82
10/08/22,486.17
11/08/22,518.73
12/08/22,529.28
15/08/22,552.88
16/08/22,577.42
17/08/22,595.47
18/08/22,636.53
19/08/22,669.18
22/08/22,776.59
23/08/22,755.16
24/08/22,765.41
25/08/22,881.4
26/08/22,1055.21
29/08/22,704.51
30/08/22,686.43
31/08/22,668.48
01/09/22,661.21
02/09/22,628.59
05/09/22,723.0
06/09/22,687.31
07/09/22,665.49
08/09/22,661.03
09/09/22,642.22
12/09/22,585.65
13/09/22,579.82
14/09/22,624.08
15/09/22,634.11
16/09/22,598.63
19/09/22,605.21
20/09/22,630.15
21/09/22,621.05
22/09/22,620.15
23/09/22,620.43
26/09/22,582.74
27/09/22,558.9
28/09/22,591.02
29/09/22,553.26
30/09/22,527.9
03/10/22,496.96
04/10/22,497.37
05/10/22,521.33
06/10/22,533.18
07/10/22,518.55
10/10/22,515.07
11/10/22,535.18
12/10/22,539.12
13/10/22,523.92
14/10/22,511.87
17/10/22,476.81
18/10/22,433.16
19/10/22,449.83
20/10/22,469.5
21/10/22,435.33
24/10/22,435.0
25/10/22,442.7
26/10/22,430.01
27/10/22,448.78
28/10/22,460.13
31/10/22,419.66
01/11/22,385.5
02/11/22,400.73
03/11/22,397.75
04/11/22,378.49
07/11/22,354.82
08/11/22,340.46
09/11/22,323.14
10/11/22,322.51
11/11/22,295.88
14/11/22,295.31
15/11/22,322.59
16/11/22,308.43
17/11/22,302.41
18/11/22,303.1
21/11/22,321.55
22/11/22,349.35
23/11/22,369.94
24/11/22,341.69
25/11/22,345.52
28/11/22,334.39
29/11/22,374.66
30/11/22,388.5
01/12/22,380.0
02/12/22,379.85
05/12/22,387.43
