Date,Value
2021-12-27,93.625
2021-12-28,92.965
2021-12-29,88.652
2021-12-30,78.183
2021-12-31,65.168
2022-01-03,73.748
2022-01-04,81.473
2022-01-05,83.651
2022-01-06,86.722
2022-01-07,80.051
2022-01-10,78.201
2022-01-11,72.052
2022-01-12,65.223
2022-01-13,65.45
2022-01-14,67.96
2022-01-17,64.618
2022-01-18,65.073
2022-01-19,62.32
2022-01-20,64.903
2022-01-21,68.912
2022-01-24,80.741
2022-01-25,83.41
2022-01-26,85.783
2022-01-27,88.701
2022-01-28,88.627
2022-01-31,81.531
2022-02-01,72.921
2022-02-02,75.156
2022-02-03,78.244
2022-02-04,81.351
2022-02-07,78.849
2022-02-08,76.737
2022-02-09,73.25
2022-02-10,73.429
2022-02-11,76.806
2022-02-14,79.782
2022-02-15,70.411
2022-02-16,69.41
2022-02-17,74.339
2022-02-18,73.054
2022-02-21,72.261
2022-02-22,79.746
2022-02-23,88.359
2022-02-24,127.933
2022-02-25,90.927
2022-02-28,95.041
2022-03-01,114.566
2022-03-02,149.99
2022-03-03,140.329
2022-03-04,121.596
2022-03-07,135.293
2022-03-08,131.935
2022-03-09,117.142
2022-03-10,99.231
2022-03-11,107.838
2022-03-14,94.047
2022-03-15,93.348
2022-03-16,85.328
2022-03-17,92.435
2022-03-18,93.132
2022-03-21,87.708
2022-03-22,91.879
2022-03-23,106.976
2022-03-24,100.137
2022-03-25,92.927
2022-03-28,96.094
2022-03-29,101.091
2022-03-30,109.271
2022-03-31,116.022
2022-04-01,102.32
2022-04-04,102.059
2022-04-05,105.369
2022-04-06,104.672
2022-04-07,102.557
2022-04-08,101.907
2022-04-11,99.313
2022-04-12,100.871
2022-04-13,103.267
2022-04-14,93.965
2022-04-18,93.965
2022-04-19,93.128
2022-04-20,93.363
2022-04-21,98.566
2022-04-22,93.848
2022-04-25,91.106
2022-04-26,100.597
2022-04-27,104.524
2022-04-28,97.407
2022-04-29,94.046
2022-05-02,91.262
2022-05-03,94.914
2022-05-04,100.208
2022-05-05,101.972
2022-05-06,98.014
2022-05-09,93.151
2022-05-10,97.692
2022-05-11,94.41
2022-05-12,105.874
2022-05-13,99.513
2022-05-16,94.867
2022-05-17,99.765
2022-05-18,99.079
2022-05-19,95.337
2022-05-20,92.191
2022-05-23,88.632
2022-05-24,91.119
2022-05-25,95.574
2022-05-26,94.344
2022-05-27,98.731
2022-05-30,98.408
2022-05-31,99.692
2022-06-01,95.422
2022-06-02,97.058
2022-06-03,94.461
2022-06-06,94.805
2022-06-07,93.481
2022-06-08,93.671
2022-06-09,96.317
2022-06-10,95.328
2022-06-13,95.375
2022-06-14,104.733
2022-06-15,120.759
2022-06-16,121.478
2022-06-17,112.1
2022-06-20,115.726
2022-06-21,121.412
2022-06-22,127.919
2022-06-23,135.118
2022-06-24,131.63
2022-06-27,132.698
2022-06-28,133.313
2022-06-29,140.619
2022-06-30,147.967
2022-07-01,151.331
2022-07-04,163.871
2022-07-05,166.02
2022-07-06,172.528
2022-07-07,184.618
2022-07-08,177.685
2022-07-11,168.388
2022-07-12,177.923
2022-07-13,182.912
2022-07-14,178.441
2022-07-15,163.488
2022-07-18,162.917
