date,market,product,delta,value
2022-12-01,BPB,Q2-23,Q+2,311.732
2022-12-02,BPB,Q2-23,Q+2,316.069
2022-12-05,BPB,Q2-23,Q+2,312.041
2022-12-06,BPB,Q2-23,Q+2,316.609
2022-12-07,BPB,Q2-23,Q+2,337.734
2022-12-08,BPB,Q2-23,Q+2,324.844
2022-12-09,BPB,Q2-23,Q+2,317.097
2022-12-12,BPB,Q2-23,Q+2,294.922
2022-12-13,BPB,Q2-23,Q+2,307.761
2022-12-14,BPB,Q2-23,Q+2,288.988
2022-12-15,BPB,Q2-23,Q+2,282.978
2022-12-16,BPB,Q2-23,Q+2,258.936
2022-12-19,BPB,Q2-23,Q+2,250.889
2022-12-20,BPB,Q2-23,Q+2,252.45
2022-12-21,BPB,Q2-23,Q+2,236.428
2022-12-22,BPB,Q2-23,Q+2,224.413
2022-12-23,BPB,Q2-23,Q+2,212.658
2022-12-27,BPB,Q2-23,Q+2,203.551
2022-12-28,BPB,Q2-23,Q+2,201.235
2022-12-29,BPB,Q2-23,Q+2,204.009
2022-12-30,BPB,Q2-23,Q+2,187.814
2022-12-30,BPB,Q2-23,Q+1,187.814
2023-01-02,BPB,Q2-23,Q+1,170.426
2023-01-03,BPB,Q2-23,Q+1,186.371
2023-01-04,BPB,Q2-23,Q+1,166.654
2023-01-05,BPB,Q2-23,Q+1,179.639
2023-01-06,BPB,Q2-23,Q+1,176.201
2023-01-09,BPB,Q2-23,Q+1,181.254
2023-01-10,BPB,Q2-23,Q+1,170.045
2023-01-11,BPB,Q2-23,Q+1,161.048
2023-01-12,BPB,Q2-23,Q+1,161.095
2023-01-13,BPB,Q2-23,Q+1,159.264
2023-01-16,BPB,Q2-23,Q+1,140.83
2023-01-17,BPB,Q2-23,Q+1,150.833
2023-01-18,BPB,Q2-23,Q+1,152.964
2023-01-19,BPB,Q2-23,Q+1,150.13
2023-01-20,BPB,Q2-23,Q+1,159.805
2023-01-23,BPB,Q2-23,Q+1,156.629
2023-01-24,BPB,Q2-23,Q+1,139.84
2023-01-25,BPB,Q2-23,Q+1,137.351
2023-01-26,BPB,Q2-23,Q+1,140.623
2023-01-27,BPB,Q2-23,Q+1,140.151
2023-01-30,BPB,Q2-23,Q+1,142.858
2023-01-31,BPB,Q2-23,Q+1,149.767
2023-02-01,BPB,Q2-23,Q+1,152.271
2023-02-02,BPB,Q2-23,Q+1,145.609
2023-02-03,BPB,Q2-23,Q+1,147.458
2023-02-06,BPB,Q2-23,Q+1,143.535
2023-02-07,BPB,Q2-23,Q+1,138.24
2023-02-08,BPB,Q2-23,Q+1,135.5
2023-02-09,BPB,Q2-23,Q+1,134.913
2023-02-10,BPB,Q2-23,Q+1,138.097
2023-02-13,BPB,Q2-23,Q+1,133.601
2023-02-14,BPB,Q2-23,Q+1,133.884
2023-02-15,BPB,Q2-23,Q+1,138.154
2023-02-16,BPB,Q2-23,Q+1,136.61
2023-02-17,BPB,Q2-23,Q+1,131.901
2023-02-20,BPB,Q2-23,Q+1,133.119
2023-02-21,BPB,Q2-23,Q+1,129.982
2023-02-22,BPB,Q2-23,Q+1,132.674
2023-02-23,BPB,Q2-23,Q+1,132.154
2023-02-24,BPB,Q2-23,Q+1,135.61
2023-02-27,BPB,Q2-23,Q+1,126.895
2023-02-28,BPB,Q2-23,Q+1,125.15
2023-03-01,BPB,Q2-23,Q+1,125.509
2023-03-02,BPB,Q2-23,Q+1,123.746
2023-03-03,BPB,Q2-23,Q+1,118.647
2023-03-06,BPB,Q2-23,Q+1,113.912
2023-03-07,BPB,Q2-23,Q+1,114.861
2023-03-08,BPB,Q2-23,Q+1,116.325
2023-03-09,BPB,Q2-23,Q+1,119.886
2023-03-10,BPB,Q2-23,Q+1,136.999
2023-03-13,BPB,Q2-23,Q+1,132.397
2023-03-14,BPB,Q2-23,Q+1,118.068
2023-03-15,BPB,Q2-23,Q+1,113.935
2023-03-16,BPB,Q2-23,Q+1,114.915
2023-03-17,BPB,Q2-23,Q+1,112.999
2023-03-20,BPB,Q2-23,Q+1,105.934
2023-03-21,BPB,Q2-23,Q+1,111.393
