DateTime;Quality status;Resolution code;Net regulation volume;System imbalance;Alpha;Marginal incremental price;Marginal decremental price;Strategic reserve price;Positive imbalance price;Negative imbalance price
2023-05-23T05:15:00+02:00;Not Validated;PT15M;-63.323;71.283;0.0;104.6;6.78;;6.78;6.78
2023-05-23T05:00:00+02:00;Not Validated;PT15M;91.794;-75.832;0.0;107.93;46.72;;107.93;107.93
2023-05-23T04:45:00+02:00;Not Validated;PT15M;25.363;-41.309;0.0;125.0;47.2;;125.0;125.0
2023-05-23T04:30:00+02:00;Not Validated;PT15M;20.855;-17.159;0.0;125.0;56.64;;125.0;125.0
2023-05-23T04:15:00+02:00;Not Validated;PT15M;-77.891;123.041;0.0;125.0;-22.1;;-22.1;-22.1
2023-05-23T04:00:00+02:00;Not Validated;PT15M;1.029;-11.006;0.0;109.6;51.74;;109.6;109.6
2023-05-23T03:45:00+02:00;Not Validated;PT15M;-39.677;33.936;0.0;109.6;53.71;;53.71;53.71
2023-05-23T03:30:00+02:00;Not Validated;PT15M;-75.459;69.545;0.0;109.6;46.85;;46.85;46.85
2023-05-23T03:15:00+02:00;Not Validated;PT15M;37.006;-44.052;0.0;109.6;62.37;;109.6;109.6
2023-05-23T03:00:00+02:00;Not Validated;PT15M;71.318;-88.803;0.0;108.35;57.74;;108.35;108.35
2023-05-23T02:45:00+02:00;Not Validated;PT15M;150.538;-192.312;1.69;107.79;57.74;;109.48;109.48
2023-05-23T02:30:00+02:00;Not Validated;PT15M;60.864;-88.12;0.0;107.6;57.74;;107.6;107.6
2023-05-23T02:15:00+02:00;Not Validated;PT15M;88.307;-92.707;0.0;111.11;57.74;;111.11;111.11
2023-05-23T02:00:00+02:00;Not Validated;PT15M;-22.74;-1.421;0.0;109.6;61.7;;109.6;109.6
2023-05-23T01:45:00+02:00;Not Validated;PT15M;-1.656;-3.464;0.0;109.6;53.97;;109.6;109.6
2023-05-23T01:30:00+02:00;Not Validated;PT15M;4.264;3.151;0.0;109.6;51.51;;51.51;51.51
2023-05-23T01:15:00+02:00;Not Validated;PT15M;-33.673;22.464;0.0;239.0;24.71;;24.71;24.71
2023-05-23T01:00:00+02:00;Not Validated;PT15M;192.584;-189.809;0.91;109.6;62.74;;110.51;110.51
2023-05-23T00:45:00+02:00;Not Validated;PT15M;-14.599;-9.03;0.0;249.0;6.96;;249.0;249.0
2023-05-23T00:30:00+02:00;Not Validated;PT15M;192.596;-226.795;4.7;249.0;-18.19;;253.7;253.7
2023-05-23T00:15:00+02:00;Not Validated;PT15M;208.036;-226.12;4.75;109.77;30.0;;114.52;114.52
2023-05-23T00:00:00+02:00;Not Validated;PT15M;67.515;-190.685;4.09;121.58;53.49;;125.67;125.67
2023-05-22T23:45:00+02:00;Not Validated;PT15M;-194.294;206.394;1.95;104.33;-45.94;;-47.89;-47.89
2023-05-22T23:30:00+02:00;Not Validated;PT15M;-126.517;126.919;0.0;104.33;-10.8;;-10.8;-10.8
2023-05-22T23:15:00+02:00;Not Validated;PT15M;-126.696;141.627;0.0;104.33;-31.96;;-31.96;-31.96
2023-05-22T23:00:00+02:00;Not Validated;PT15M;94.605;-129.141;0.0;110.64;20.89;;110.64;110.64
2023-05-22T22:45:00+02:00;Not Validated;PT15M;-139.575;184.918;0.65;104.73;-93.38;;-94.03;-94.03
2023-05-22T22:30:00+02:00;Not Validated;PT15M;-65.707;51.983;0.0;104.33;-65.0;;-65.0;-65.0
2023-05-22T22:15:00+02:00;Not Validated;PT15M;-97.824;82.721;0.0;109.33;-84.0;;-84.0;-84.0
2023-05-22T22:00:00+02:00;Not Validated;PT15M;-129.768;49.628;0.0;187.94;-84.0;;-84.0;-84.0
2023-05-22T21:45:00+02:00;Not Validated;PT15M;-174.809;187.946;4.03;126.0;-20.36;;-24.39;-24.39
