date,market,product,delta,value
2022-09-30,BPB,Q1-23,Q+1,475.012
2022-10-03,BPB,Q1-23,Q+1,463.096
2022-10-04,BPB,Q1-23,Q+1,449.698
2022-10-05,BPB,Q1-23,Q+1,474.91
2022-10-06,BPB,Q1-23,Q+1,482.95
2022-10-07,BPB,Q1-23,Q+1,468.148
2022-10-10,BPB,Q1-23,Q+1,461.541
2022-10-11,BPB,Q1-23,Q+1,478.47
2022-10-12,BPB,Q1-23,Q+1,484.352
2022-10-13,BPB,Q1-23,Q+1,475.459
2022-10-14,BPB,Q1-23,Q+1,455.229
2022-10-17,BPB,Q1-23,Q+1,435.408
2022-10-18,BPB,Q1-23,Q+1,399.304
2022-10-19,BPB,Q1-23,Q+1,409.06
2022-10-20,BPB,Q1-23,Q+1,437.298
2022-10-21,BPB,Q1-23,Q+1,411.331
2022-10-24,BPB,Q1-23,Q+1,406.737
2022-10-25,BPB,Q1-23,Q+1,418.335
2022-10-26,BPB,Q1-23,Q+1,410.636
2022-10-27,BPB,Q1-23,Q+1,425.596
2022-10-28,BPB,Q1-23,Q+1,443.853
2022-10-31,BPB,Q1-23,Q+1,404.727
2022-11-01,BPB,Q1-23,Q+1,388.48
2022-11-02,BPB,Q1-23,Q+1,397.438
2022-11-03,BPB,Q1-23,Q+1,395.235
2022-11-04,BPB,Q1-23,Q+1,376.302
2022-11-07,BPB,Q1-23,Q+1,345.031
2022-11-08,BPB,Q1-23,Q+1,329.988
2022-11-09,BPB,Q1-23,Q+1,320.224
2022-11-10,BPB,Q1-23,Q+1,311.52
2022-11-11,BPB,Q1-23,Q+1,287.587
2022-11-14,BPB,Q1-23,Q+1,296.531
2022-11-15,BPB,Q1-23,Q+1,326.47
2022-11-16,BPB,Q1-23,Q+1,314.209
2022-11-17,BPB,Q1-23,Q+1,314.99
2022-11-18,BPB,Q1-23,Q+1,316.182
2022-11-21,BPB,Q1-23,Q+1,333.283
2022-11-22,BPB,Q1-23,Q+1,362.73
2022-11-23,BPB,Q1-23,Q+1,379.382
2022-11-24,BPB,Q1-23,Q+1,350.1
2022-11-25,BPB,Q1-23,Q+1,348.776
2022-11-28,BPB,Q1-23,Q+1,339.783
2022-11-29,BPB,Q1-23,Q+1,377.817
2022-11-30,BPB,Q1-23,Q+1,395.271
2022-12-01,BPB,Q1-23,Q+1,387.993
2022-12-02,BPB,Q1-23,Q+1,386.487
2022-12-05,BPB,Q1-23,Q+1,385.138
2022-12-06,BPB,Q1-23,Q+1,397.371
2022-12-07,BPB,Q1-23,Q+1,427.121
2022-12-08,BPB,Q1-23,Q+1,402.047
2022-12-09,BPB,Q1-23,Q+1,397.471
2022-12-12,BPB,Q1-23,Q+1,377.678
2022-12-13,BPB,Q1-23,Q+1,369.985
2022-12-14,BPB,Q1-23,Q+1,349.185
2022-12-15,BPB,Q1-23,Q+1,349.191
2022-12-16,BPB,Q1-23,Q+1,314.896
2022-12-19,BPB,Q1-23,Q+1,304.665
2022-12-20,BPB,Q1-23,Q+1,302.114
2022-12-21,BPB,Q1-23,Q+1,280.337
2022-12-22,BPB,Q1-23,Q+1,260.243
2022-12-23,BPB,Q1-23,Q+1,248.269
2022-12-27,BPB,Q1-23,Q+1,245.837
2022-12-28,BPB,Q1-23,Q+1,234.512
2022-12-30,BPB,Q1-23,Q+1,229.129
